No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
92,Daniel Hardy (NWT),25,LB,0,0,240,3-Jun,Montana State,12/15/98,1,,Los Angeles Rams / 7th / 235th pick / 2022,HardDa01
52,Khalid Kareem (NWT),25,DL,1,0,268,4-Jun,Notre Dame,4/28/98,3,0,Cincinnati Bengals / 5th / 147th pick / 2020,KareKh00
68,Doug Kramer (NWT),25,OL,2,0,300,2-Jun,Illinois,6/4/98,Rook,0,Chicago Bears / 6th / 207th pick / 2022,KramDo00
,Cameron Lyons (NWT),24,LS,0,0,225,Jun-00,Charlotte,1/11/99,Rook,,,LyonCa01
78,Roy Mbaeteka (NWT),23,OL,0,0,331,6-Jun,,2/13/00,Rook,,,MbaeRo00
60,Bill Murray (NWT),26,OL,0,0,307,4-Jun,William & Mary,7/3/97,1,,,MurrBi00
,Corliss Waitman (NWT),28,P,0,0,210,2-Jun,South Alabama,7/21/95,2,,,WaitCo00
83,Nsimba Webster (NWT),27,WR,0,0,180,10-May,Eastern Washington,1/27/96,4,,,WebsNs00
91,Yannick Ngakoue (IR),28,DL,13,13,246,2-Jun,Maryland,3/31/95,7,6,Jacksonville Jaguars / 3rd / 69th pick / 2016,NgakYa00
62,Lucas Patrick (IR),30,OL,16,15,313,3-Jun,Duke,7/30/93,6,7,,PatrLu00
