Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
D'Onta Foreman,21.0,27.0,RB,9,8,235,Jun-00,Texas,4/24/96,6,3.0,Houston Texans / 3rd / 89th pick / 2017,ForeDO00
Trenton Gill,16.0,24.0,P,17,0,219,4-Jun,North Carolina St.,1/1/99,1,2.0,Chicago Bears / 7th / 255th pick / 2022,GillTr01
Kyler Gordon,6.0,24.0,DB,13,7,200,Jun-00,Washington,12/17/99,1,3.0,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
Rasheem Green,94.0,26.0,DL,17,0,279,4-Jun,USC,5/15/97,5,1.0,Seattle Seahawks / 3rd / 79th pick / 2018,GreeRa01
Khalil Herbert,24.0,25.0,RB,12,9,212,9-May,KansasVirginia Tech,4/21/98,2,5.0,Chicago Bears / 6th / 217th pick / 2021,HerbKh00
Elijah Hicks,22.0,24.0,DB,17,6,200,11-May,California,10/16/99,1,2.0,Chicago Bears / 7th / 254th pick / 2022,HickEl00
Travis Homer,20.0,25.0,RB,16,0,202,10-May,Miami (FL),8/7/98,4,0.0,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00
Eddie Jackson,4.0,30.0,DB,12,12,206,Jun-00,Alabama,12/10/93,6,4.0,Chicago Bears / 4th / 112th pick / 2017,JackEd01
Teven Jenkins,76.0,25.0,OL,12,11,321,6-Jun,Oklahoma St.,3/3/98,2,5.0,Chicago Bears / 2nd / 39th pick / 2021,JenkTe00
Collin Johnson,80.0,26.0,WR,3,0,222,6-Jun,Texas,9/23/97,3,0.0,Jacksonville Jaguars / 5th / 165th pick / 2020,JohnCo01
Jaylon Johnson,33.0,24.0,DB,14,14,196,Jun-00,Utah,4/19/99,3,9.0,Chicago Bears / 2nd / 50th pick / 2020,JohnJa13
Quindell Johnson,26.0,24.0,DB,9,0,208,NAN,Memphis,11/5/99,Rook,1.0,NAN,JohnQu01
Roschon Johnson,23.0,22.0,RB,15,0,225,NAN,Texas,1/31/01,Rook,4.0,Chicago Bears / 4th / 115th pick / 2023,JohnRo07
Braxton Jones,70.0,24.0,OL,11,11,310,5-Jun,Southern Utah,3/27/99,1,5.0,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
Jaylon Jones,31.0,26.0,DB,17,0,190,11-May,Mississippi,10/14/97,1,1.0,NAN,JoneJa12
Justin Jones,93.0,27.0,DL,17,17,309,3-Jun,North Carolina St.,8/28/96,5,8.0,Los Angeles Chargers / 3rd / 84th pick / 2018,JoneJu03
Velus Jones Jr.,12.0,26.0,WR,14,0,200,Jun-00,USCTennessee,5/11/97,1,1.0,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00
Cole Kmet,85.0,24.0,TE,17,17,260,6-Jun,Notre Dame,3/10/99,3,7.0,Chicago Bears / 2nd / 43rd pick / 2020,KmetCo00
Marcedes Lewis,84.0,39.0,TE,17,4,265,6-Jun,UCLA,5/19/84,17,0.0,Jacksonville Jaguars / 1st / 28th pick / 2006,LewiMa00
Darnell Mooney,11.0,26.0,WR,15,14,173,11-May,Tulane,10/29/97,3,4.0,Chicago Bears / 5th / 173rd pick / 2020,MoonDa00
D.J. Moore,2.0,26.0,WR,17,17,210,11-May,Maryland,4/14/97,5,13.0,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00
Nathan Peterman,14.0,29.0,QB,2,0,225,2-Jun,TennesseePittsburgh,5/4/94,6,0.0,Buffalo Bills / 5th / 171st pick / 2017,PeteNa00
Zacch Pickens,96.0,23.0,DL,17,0,300,NAN,South Carolina,3/6/00,Rook,1.0,Chicago Bears / 3rd / 64th pick / 2023,PickZa00
Dominique Robinson,90.0,25.0,DL,11,0,253,5-Jun,Miami (OH),7/2/98,1,1.0,Chicago Bears / 5th / 174th pick / 2022,RobiDo00
Jack Sanborn,57.0,23.0,LB,17,10,234,NAN,Wisconsin,7/29/00,1,5.0,NAN,SanbJa00
Cairo Santos,8.0,32.0,K,17,0,175,8-May,Tulane,11/12/91,9,4.0,NAN,SantCa01
Patrick Scales,48.0,35.0,LS,17,0,226,3-Jun,Utah St.,2/11/88,9,1.0,NAN,ScalPa00
Tyler Scott,13.0,22.0,WR,17,4,185,NAN,Cincinnati,10/12/01,Rook,2.0,Chicago Bears / 4th / 133rd pick / 2023,ScotTy00
Noah Sewell,44.0,22.0,LB,13,0,253,2-Jun,Oregon,4/26/01,Rook,1.0,Chicago Bears / 5th / 148th pick / 2023,SeweNo00
Terell Smith,32.0,24.0,DB,12,4,207,Jun-00,Minnesota,7/27/99,Rook,2.0,Chicago Bears / 5th / 165th pick / 2023,SmitTe05
Equanimeous St. Brown,19.0,27.0,WR,7,2,214,5-Jun,Notre Dame,9/30/96,5,1.0,Green Bay Packers / 6th / 207th pick / 2018,St.BEq00
Tyrique Stevenson,29.0,23.0,DB,16,16,204,NAN,GeorgiaMiami (FL),5/26/00,Rook,6.0,Chicago Bears / 2nd / 56th pick / 2023,StevTy01
Greg Stroman,27.0,27.0,DB,7,1,180,11-May,Virginia Tech,3/8/96,5,1.0,Washington Redskins / 7th / 241st pick / 2018,StroGr00
Montez Sweat,98.0,27.0,DL,9,9,262,6-Jun,Michigan St.Copiah-Lincoln CCMississippi St.,9/4/96,4,7.0,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
Trent Taylor,15.0,29.0,WR,17,0,178,8-May,Louisiana Tech,4/30/94,6,0.0,San Francisco 49ers / 5th / 177th pick / 2017,TaylTr02
Robert Tonyan,18.0,29.0,TE,17,6,240,5-Jun,Indiana St.,4/30/94,5,1.0,NAN,TonyRo00
DeMarcus Walker,95.0,29.0,DL,17,12,280,4-Jun,Florida St.,9/30/94,6,6.0,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03
Cody Whitehair,65.0,31.0,OL,17,11,316,3-Jun,Kansas St.,7/11/92,7,6.0,Chicago Bears / 2nd / 56th pick / 2016,WhitCo03
Darnell Wright,58.0,22.0,OL,17,17,335,NAN,Tennessee,8/10/01,Rook,8.0,Chicago Bears / 1st / 10th pick / 2023,WrigDa00
Micah Baskerville (NWT),47.0,24.0,LB,2,0,224,Jun-00,LSU,10/19/99,Rook,0.0,NAN,BaskMi00
Stephen Carlson (NWT),88.0,27.0,TE,1,0,240,4-Jun,Princeton,12/12/96,4,0.0,NAN,CarlSt00
Jerome Carvin (NWT),63.0,23.0,G,0,0,321,NAN,Tennessee,9/20/00,Rook,NAN,NAN,CarvJe00
Adrian Colbert (NWT),23.0,30.0,DB,0,0,205,2-Jun,Miami (FL),10/6/93,6,NAN,San Francisco 49ers / 7th / 229th pick / 2017,ColbAd00
Douglas Coleman (NWT),NAN,25.0,DB,0,0,200,1-Jun,Texas Tech,6/28/98,Rook,NAN,NAN,ColeDo00
Aviante Collins (NWT),74.0,30.0,OL,1,0,292,4-Jun,TCU,4/21/93,6,0.0,NAN,CollAv00
Michael Dwumfour (NWT),72.0,25.0,DL,0,0,296,1-Jun,MichiganRutgers,1/1/98,2,NAN,NAN,DwumMi00
Daniel Hardy (NWT),92.0,25.0,LB,0,0,240,3-Jun,Montana State,12/15/98,1,NAN,Los Angeles Rams / 7th / 235th pick / 2022,HardDa01
Khalid Kareem (NWT),52.0,25.0,DL,1,0,268,4-Jun,Notre Dame,4/28/98,3,0.0,Cincinnati Bengals / 5th / 147th pick / 2020,KareKh00
Doug Kramer (NWT),68.0,25.0,OL,2,0,300,2-Jun,Illinois,6/4/98,Rook,0.0,Chicago Bears / 6th / 207th pick / 2022,KramDo00
Cameron Lyons (NWT),NAN,24.0,LS,0,0,225,Jun-00,Charlotte,1/11/99,Rook,NAN,NAN,LyonCa01
Roy Mbaeteka (NWT),78.0,23.0,OL,0,0,331,6-Jun,NAN,2/13/00,Rook,NAN,NAN,MbaeRo00
Bill Murray (NWT),60.0,26.0,OL,0,0,307,4-Jun,William & Mary,7/3/97,1,NAN,NAN,MurrBi00
Corliss Waitman (NWT),NAN,28.0,P,0,0,210,2-Jun,South Alabama,7/21/95,2,NAN,NAN,WaitCo00
Nsimba Webster (NWT),83.0,27.0,WR,0,0,180,10-May,Eastern Washington,1/27/96,4,NAN,NAN,WebsNs00
Yannick Ngakoue (IR),91.0,28.0,DL,13,13,246,2-Jun,Maryland,3/31/95,7,6.0,Jacksonville Jaguars / 3rd / 69th pick / 2016,NgakYa00
Lucas Patrick (IR),62.0,30.0,OL,16,15,313,3-Jun,Duke,7/30/93,6,7.0,NAN,PatrLu00
Tyson Alualu,92.0,36.0,DL,2,1,304,3-Jun,California,5/12/87,13,0.0,Jacksonville Jaguars / 1st / 10th pick / 2010,AluaTy99
Alex Anzalone,34.0,29.0,LB,16,16,238,3-Jun,Florida,9/22/94,6,6.0,New Orleans Saints / 3rd / 76th pick / 2017,AnzaAl00
Kayode Awosika,74.0,25.0,G,15,3,315,3-Jun,Buffalo,10/27/98,2,2.0,NAN,AwosKa00
Michael Badgley,17.0,28.0,K,4,0,188,10-May,Miami (FL),7/28/95,5,1.0,NAN,BadgMi00
Derrick Barnes,55.0,24.0,LB,16,13,240,Jun-00,Purdue,5/29/99,2,5.0,Detroit Lions / 4th / 113th pick / 2021,BarnDe02
Brian Branch,32.0,22.0,DB,15,9,203,NAN,Alabama,10/22/01,Rook,4.0,Detroit Lions / 2nd / 45th pick / 2023,BranBr00
Jack Campbell,46.0,23.0,LB,17,12,243,NAN,Iowa,8/22/00,Rook,5.0,Detroit Lions / 1st / 18th pick / 2023,CampJa04
John Cominsky,79.0,28.0,DL,16,11,285,5-Jun,Charleston (WV),11/22/95,4,4.0,Atlanta Falcons / 4th / 135th pick / 2019,ComiJo00
Taylor Decker,68.0,30.0,T,15,15,318,7-Jun,Ohio St.,8/23/93,7,8.0,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
Khalil Dorsey,30.0,25.0,CB,13,2,185,8-May,Northern Arizona,3/31/98,3,1.0,NAN,DorsKh00
Anthony Firkser,86.0,28.0,TE,2,0,246,2-Jun,Harvard,2/19/95,5,0.0,NAN,FirkAn00
Jack Fox,3.0,27.0,P,17,0,218,2-Jun,Rice,9/1/96,3,1.0,NAN,FoxxJa01
C.J. Gardner-Johnson,2.0,26.0,DB,3,2,208,11-May,Florida,12/20/97,4,1.0,New Orleans Saints / 4th / 105th pick / 2019,GardCh00
Jahmyr Gibbs,26.0,21.0,RB,15,3,200,NAN,Georgia TechAlabama,3/20/02,Rook,10.0,Detroit Lions / 1st / 12th pick / 2023,GibbJa01
Steven Gilmore,24.0,24.0,CB,3,0,174,NAN,Marshall,9/17/99,Rook,0.0,NAN,GilmSt01
Graham Glasgow,60.0,31.0,OL,17,15,315,6-Jun,Michigan,7/19/92,7,7.0,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
Jared Goff,16.0,29.0,QB,17,17,217,4-Jun,California,10/14/94,7,16.0,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
Antoine Green,80.0,24.0,WR,9,0,199,2-Jun,North Carolina,11/15/99,Rook,0.0,Detroit Lions / 7th / 219th pick / 2023,GreeAn00
Charles Harris,53.0,28.0,DL,13,3,250,3-Jun,Missouri,3/6/95,6,2.0,Miami Dolphins / 1st / 22nd pick / 2017,HarrCh03
Will Harris,25.0,28.0,CB,17,2,206,1-Jun,Boston Col.,12/19/95,4,2.0,Detroit Lions / 3rd / 81st pick / 2019,HarrWi02
Hendon Hooker,12.0,25.0,QB,0,0,220,3-Jun,Virginia TechTennessee,1/13/98,Rook,NAN,Detroit Lions / 3rd / 68th pick / 2023,HookHe00
James Houston,41.0,25.0,LB,2,1,245,1-Jun,FloridaJackson St.,11/16/98,1,0.0,Detroit Lions / 6th / 217th pick / 2022,HousJa01
Aidan Hutchinson,97.0,23.0,DL,17,17,268,7-Jun,Michigan,8/9/00,1,10.0,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00
Jonah Jackson,73.0,26.0,G,12,12,311,4-Jun,RutgersOhio St.,2/5/97,3,5.0,Detroit Lions / 3rd / 75th pick / 2020,JackJo03
Benito Jones,94.0,26.0,DL,17,15,335,1-Jun,Mississippi,11/27/97,3,6.0,NAN,JoneBe03
Kerby Joseph,31.0,23.0,S,15,15,203,1-Jun,Illinois,11/14/00,1,5.0,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
Sam LaPorta,87.0,22.0,TE,17,14,245,3-Jun,Iowa,1/12/01,Rook,9.0,Detroit Lions / 2nd / 34th pick / 2023,LaPoSa01
Chase Lucas,27.0,26.0,CB,12,0,184,11-May,Arizona St.,3/4/97,1,1.0,Detroit Lions / 7th / 237th pick / 2022,LucaCh01
Brodric Martin,98.0,24.0,DL,3,0,330,NAN,North AlabamaWestern Kentucky,5/24/99,Rook,0.0,Detroit Lions / 3rd / 96th pick / 2023,MartBr00
Alim McNeill,54.0,23.0,DL,13,13,315,2-Jun,North Carolina St.,5/11/00,2,5.0,Detroit Lions / 3rd / 72nd pick / 2021,McNeAl00
Jake McQuaide,43.0,36.0,LS,9,0,247,2-Jun,Ohio St.,12/7/87,12,0.0,NAN,McQuJa00
Ifeatu Melifonwu,6.0,24.0,S,17,6,210,3-Jun,Syracuse,5/2/99,2,3.0,Detroit Lions / 3rd / 101st pick / 2021,MeliIf00
David Montgomery,5.0,26.0,RB,14,14,224,11-May,Iowa St.,6/7/97,4,9.0,Chicago Bears / 3rd / 73rd pick / 2019,MontDa01
Romeo Okwara,95.0,28.0,DL,16,0,255,4-Jun,Notre Dame,6/17/95,7,1.0,NAN,OkwaRo01
Levi Onwuzurike,91.0,25.0,DL,10,0,290,3-Jun,Washington,3/2/98,2,1.0,Detroit Lions / 2nd / 41st pick / 2021,OnwuLe00
Josh Paschal,93.0,24.0,DL,12,4,274,3-Jun,Kentucky,12/17/99,1,2.0,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
Donovan Peoples-Jones,19.0,24.0,WR,8,1,204,2-Jun,Michigan,2/19/99,3,1.0,Cleveland Browns / 6th / 187th pick / 2020,PeopDo00
Anthony Pittman,57.0,27.0,LB,17,0,242,3-Jun,Wayne State (MI),11/24/96,4,1.0,NAN,PittAn01
Frank Ragnow,77.0,27.0,C,15,15,310,5-Jun,Arkansas,5/17/96,5,11.0,Detroit Lions / 1st / 20th pick / 2018,RagnFr00
Kalif Raymond,11.0,29.0,WR,17,3,180,8-May,Holy Cross,8/8/94,7,5.0,NAN,RaymKa00
Jalen Reeves-Maybin,42.0,28.0,LB,17,0,226,1-Jun,Tennessee,1/31/95,6,6.0,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
Craig Reynolds,13.0,27.0,RB,17,0,216,11-May,Kutztown (PA),6/15/96,4,2.0,NAN,ReynCr00
Josh Reynolds,8.0,28.0,WR,17,13,194,3-Jun,Texas A&M,2/16/95,6,6.0,Los Angeles Rams / 4th / 117th pick / 2017,ReynJo00
Malcolm Rodriguez,44.0,24.0,LB,17,3,234,11-May,Oklahoma St.,3/29/99,1,2.0,Detroit Lions / 6th / 188th pick / 2022,RodrMa00
Penei Sewell,58.0,23.0,T,17,17,335,5-Jun,Oregon,10/9/00,2,18.0,Detroit Lions / 1st / 7th pick / 2021,SewePe00
Dan Skipper,70.0,29.0,T,11,1,330,9-Jun,Arkansas,9/20/94,6,1.0,NAN,SkipDa00
Colby Sorsdal,75.0,23.0,OL,16,3,315,6-Jun,William & Mary,3/1/00,Rook,2.0,Detroit Lions / 5th / 152nd pick / 2023,SorsCo00
Amon-Ra St. Brown,14.0,24.0,WR,16,16,202,Jun-00,USC,10/24/99,2,15.0,Detroit Lions / 4th / 112th pick / 2021,StxxAm00
Cameron Sutton,1.0,28.0,CB,17,17,180,11-May,Tennessee,2/27/95,6,5.0,Pittsburgh Steelers / 3rd / 94th pick / 2017,SuttCa00
Kindle Vildor,29.0,26.0,CB,5,2,189,11-May,Georgia Southern,12/11/97,3,1.0,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
Tracy Walker,21.0,28.0,S,17,6,206,1-Jun,Louisiana,2/1/95,5,2.0,Detroit Lions / 3rd / 82nd pick / 2018,WalkTr01
Jameson Williams,9.0,22.0,WR,12,10,180,1-Jun,Ohio St.Alabama,3/26/01,1,4.0,Detroit Lions / 1st / 12th pick / 2022,WillJa11
Mitchell Agude (NWT),NAN,NAN,LB,0,0,245,4-Jun,Riverside CCUCLAMiami (FL),NAN,Rook,NAN,NAN,AgudMi01
Maurice Alexander (NWT),15.0,26.0,WR,0,0,174,11-May,Florida International,1/10/97,1,NAN,NAN,AlexMa02
Matt Farniok (NWT),66.0,26.0,G,0,0,315,5-Jun,Nebraska,9/26/97,2,NAN,Dallas Cowboys / 7th / 238th pick / 2021,FarnMa00
Daurice Fountain (NWT),84.0,28.0,WR,0,0,210,2-Jun,Northern Iowa,12/22/95,5,NAN,Indianapolis Colts / 5th / 159th pick / 2018,FounDa00
Jake Funk (NWT),36.0,25.0,RB,0,0,205,10-May,Maryland,1/11/98,2,NAN,Los Angeles Rams / 7th / 233rd pick / 2021,FunkJa00
Connor Galvin (NWT),76.0,23.0,OL,1,0,300,NAN,Baylor,3/11/00,Rook,0.0,NAN,GalvCo00
Craig James (NWT),33.0,27.0,CB,0,0,195,10-May,Southern Illinois,4/29/96,5,NAN,NAN,JameCr01
Jermar Jefferson (NWT),39.0,23.0,RB,0,0,212,10-May,Oregon St.,4/15/00,2,NAN,Detroit Lions / 7th / 257th pick / 2021,JeffJe00
Brandon Joseph (NWT),40.0,22.0,S,2,0,200,Jun-00,NorthwesternNotre Dame,2/5/01,Rook,0.0,NAN,JoseBr00
Tom Kennedy (NWT),85.0,27.0,WR,0,0,195,10-May,Bryant,7/29/96,4,NAN,NAN,KennTo01
Netane Muti (NWT),NAN,24.0,G,0,0,307,3-Jun,Fresno St.,3/27/99,3,NAN,Denver Broncos / 6th / 181st pick / 2020,MutiNe00
Michael Niese (NWT),62.0,25.0,OL,1,0,295,5-Jun,DaytonTemple,1/13/98,Rook,0.0,NAN,NiesMi00
Christopher Smith (NWT),90.0,23.0,DL,0,0,195,NAN,Georgia,5/1/00,Rook,NAN,Las Vegas Raiders / 5th / 170th pick / 2023,SmitCh04
Tre'Quan Smith (NWT),NAN,27.0,WR,0,0,210,1-Jun,Central Florida,1/7/96,5,NAN,New Orleans Saints / 3rd / 91st pick / 2018,SmitTr03
Scott Daly (IR),47.0,29.0,LS,8,0,245,1-Jun,Notre Dame,2/7/94,2,0.0,NAN,DalySc01
Jerry Jacobs (IR),23.0,26.0,CB,15,12,203,11-May,Hutchinson (KS)Arkansas,9/26/97,2,4.0,NAN,JacoJe00
Zonovan Knight (IR),28.0,22.0,RB,2,0,209,10-May,North Carolina St.,4/11/01,1,0.0,NAN,KnigZo00
James Mitchell (IR),82.0,24.0,TE,15,1,246,4-Jun,Virginia Tech,8/11/99,1,0.0,Detroit Lions / 5th / 177th pick / 2022,MitcJa00
Emmanuel Moseley (IR),4.0,27.0,CB,1,0,195,11-May,Tennessee,3/25/96,5,0.0,NAN,MoseEm00
Matt Nelson (IR),67.0,28.0,T,3,2,315,7-Jun,Iowa,12/19/95,3,1.0,NAN,NelsMa00
Nate Sudfeld (IR),10.0,30.0,QB,0,0,230,6-Jun,Indiana,10/7/93,6,NAN,Washington Redskins / 6th / 187th pick / 2016,SudfNa00
Halapoulivaati Vaitai (IR),72.0,30.0,G,6,3,322,6-Jun,TCU,6/16/93,7,2.0,Philadelphia Eagles / 5th / 164th pick / 2016,VaitHa00
Brock Wright (IR),89.0,25.0,TE,14,4,250,5-Jun,Notre Dame,11/27/98,2,1.0,NAN,WrigBr01
Shane Zylstra (IR),84.0,27.0,TE,0,0,240,4-Jun,Minnesota St.,11/16/96,2,NAN,NAN,ZylsSh00
Jaire Alexander,23.0,26.0,CB,7,7,196,10-May,Louisville,2/9/97,5,2.0,Green Bay Packers / 1st / 18th pick / 2018,AlexJa00
Zayne Anderson,39.0,26.0,S,10,0,206,2-Jun,BYU,1/3/97,2,0.0,NAN,AndeZa02
Corey Ballentine,35.0,27.0,CB,14,6,196,11-May,Washburn,4/13/96,4,2.0,New York Giants / 6th / 180th pick / 2019,BallCo00
Karl Brooks,94.0,23.0,DL,17,0,296,3-Jun,Bowling Green,5/8/00,Rook,2.0,Green Bay Packers / 6th / 179th pick / 2023,BrooKa00
De'Vondre Campbell,59.0,30.0,LB,11,11,232,3-Jun,Minnesota,7/1/93,7,5.0,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00
Anders Carlson,17.0,25.0,K,17,0,219,5-Jun,Auburn,6/16/98,Rook,1.0,Green Bay Packers / 6th / 207th pick / 2023,CarlAn00
Kenny Clark,97.0,28.0,DL,17,17,314,3-Jun,UCLA,10/4/95,7,10.0,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01
Sean Clifford,8.0,25.0,QB,2,0,218,NAN,Penn St.,7/14/98,Rook,0.0,Green Bay Packers / 5th / 149th pick / 2023,ClifSe00
Brenton Cox,57.0,23.0,LB,4,0,250,4-Jun,GeorgiaFlorida,1/30/00,Rook,0.0,NAN,CoxxBr02
Josiah Deguara,81.0,26.0,TE,15,4,238,2-Jun,Cincinnati,2/14/97,3,1.0,Green Bay Packers / 3rd / 94th pick / 2020,DeguJo00
AJ Dillon,28.0,25.0,RB,15,6,247,Jun-00,Boston Col.,5/2/98,3,6.0,Green Bay Packers / 2nd / 62nd pick / 2020,DillAJ00
Romeo Doubs,87.0,23.0,WR,17,16,204,2-Jun,Nevada,4/13/00,1,7.0,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00
Kingsley Enagbare,55.0,23.0,LB,17,4,258,4-Jun,South Carolina,1/18/00,1,3.0,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00
Rashan Gary,52.0,26.0,LB,17,13,277,5-Jun,Michigan,12/3/97,4,6.0,Green Bay Packers / 1st / 12th pick / 2019,GaryRa00
Malik Heath,18.0,23.0,WR,13,1,213,2-Jun,Copiah-Lincoln CCMississippi St.Mississippi,3/3/00,Rook,1.0,NAN,HeatMa00
Elgton Jenkins,74.0,28.0,OL,15,15,311,5-Jun,Mississippi St.,12/26/95,4,8.0,Green Bay Packers / 2nd / 44th pick / 2019,JenkEl00
Anthony Johnson,36.0,24.0,S,12,4,205,Jun-00,Iowa St.,12/2/99,Rook,2.0,Green Bay Packers / 7th / 242nd pick / 2023,JohnAn08
Aaron Jones,33.0,29.0,RB,11,11,208,9-May,Texas-El Paso,12/2/94,6,7.0,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00
Caleb Jones,72.0,24.0,T,1,0,370,9-Jun,Indiana,2/10/99,Rook,0.0,NAN,JoneCa03
Tucker Kraft,85.0,23.0,TE,17,8,259,NAN,South Dakota St.,11/3/00,Rook,4.0,Green Bay Packers / 3rd / 78th pick / 2023,KrafTu00
Jordan Love,10.0,25.0,QB,17,17,219,4-Jun,Utah St.,11/2/98,2,15.0,Green Bay Packers / 1st / 26th pick / 2020,LoveJo03
Isaiah McDuffie,58.0,24.0,LB,16,8,227,1-Jun,Boston Col.,7/21/99,2,4.0,Green Bay Packers / 6th / 220th pick / 2021,McDuIs00
Bo Melton,80.0,24.0,WR,5,1,189,11-May,Rutgers,5/18/99,Rook,2.0,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00
Luke Musgrave,88.0,23.0,TE,11,9,253,NAN,Oregon St.,9/2/00,Rook,3.0,Green Bay Packers / 2nd / 42nd pick / 2023,MusgLu00
Josh Myers,71.0,25.0,OL,17,17,310,5-Jun,Ohio St.,7/16/98,2,9.0,Green Bay Packers / 2nd / 62nd pick / 2021,MyerJo00
Royce Newman,70.0,26.0,OL,17,2,310,5-Jun,Mississippi,8/17/97,2,2.0,Green Bay Packers / 4th / 142nd pick / 2021,NewmRo00
Yosh Nijman,73.0,27.0,T,17,1,314,7-Jun,Virginia Tech,1/2/96,3,2.0,NAN,NijmYo01
Keisean Nixon,25.0,26.0,CB,17,13,200,10-May,South Carolina,6/22/97,4,11.0,NAN,NixoKe00
Matthew Orzech,42.0,28.0,LS,17,0,245,3-Jun,Azusa Pacific,4/12/95,4,1.0,NAN,OrzeMa00
Jonathan Owens,34.0,28.0,S,17,11,210,11-May,Missouri Western St.,7/22/95,4,3.0,NAN,OwenJo01
Jayden Reed,11.0,23.0,WR,16,13,187,11-May,Western MichiganMichigan St.,4/28/00,Rook,9.0,Green Bay Packers / 2nd / 50th pick / 2023,ReedJa03
Sean Rhyan,75.0,25.0,OL,12,0,321,5-Jun,UCLA,9/20/98,1,1.0,Green Bay Packers / 3rd / 92nd pick / 2022,RhyaSe00
Robert Rochell,22.0,25.0,CB,9,0,195,2-Jun,Central Arkansas,4/26/98,2,0.0,Los Angeles Rams / 4th / 130th pick / 2021,RochRo00
Jon Runyan Jr.,76.0,26.0,G,17,17,307,4-Jun,Michigan,8/8/97,3,9.0,Green Bay Packers / 6th / 192nd pick / 2020,RunyJo00
Benny Sapp III,48.0,23.0,S,5,0,200,11-May,MinnesotaNorthern Iowa,6/27/00,Rook,0.0,NAN,SappBe00
Darnell Savage Jr.,26.0,26.0,S,10,10,198,11-May,Maryland,7/30/97,4,3.0,Green Bay Packers / 1st / 21st pick / 2019,SavaDa00
Ben Sims,89.0,23.0,TE,17,1,250,NAN,Baylor,5/16/00,Rook,0.0,NAN,SimsBe00
Tedarrell Slaton,93.0,26.0,DL,17,17,330,4-Jun,Florida,10/3/97,2,7.0,Green Bay Packers / 5th / 173rd pick / 2021,SlatTe00
