No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
13,Craig Reynolds,27,RB,17,0,216,11-May,Kutztown (PA),6/15/96,4,2,,ReynCr00
8,Josh Reynolds,28,WR,17,13,194,3-Jun,Texas A&M,2/16/95,6,6,Los Angeles Rams / 4th / 117th pick / 2017,ReynJo00
44,Malcolm Rodriguez,24,LB,17,3,234,11-May,Oklahoma St.,3/29/99,1,2,Detroit Lions / 6th / 188th pick / 2022,RodrMa00
58,Penei Sewell,23,T,17,17,335,5-Jun,Oregon,10/9/00,2,18,Detroit Lions / 1st / 7th pick / 2021,SewePe00
70,Dan Skipper,29,T,11,1,330,9-Jun,Arkansas,9/20/94,6,1,,SkipDa00
75,Colby Sorsdal,23,OL,16,3,315,6-Jun,William & Mary,3/1/00,Rook,2,Detroit Lions / 5th / 152nd pick / 2023,SorsCo00
14,Amon-Ra St. Brown,24,WR,16,16,202,Jun-00,USC,10/24/99,2,15,Detroit Lions / 4th / 112th pick / 2021,StxxAm00
1,Cameron Sutton,28,CB,17,17,180,11-May,Tennessee,2/27/95,6,5,Pittsburgh Steelers / 3rd / 94th pick / 2017,SuttCa00
29,Kindle Vildor,26,CB,5,2,189,11-May,Georgia Southern,12/11/97,3,1,Chicago Bears / 5th / 163rd pick / 2020,VildKi00
21,Tracy Walker,28,S,17,6,206,1-Jun,Louisiana,2/1/95,5,2,Detroit Lions / 3rd / 82nd pick / 2018,WalkTr01
9,Jameson Williams,22,WR,12,10,180,1-Jun,Ohio St.Alabama,3/26/01,1,4,Detroit Lions / 1st / 12th pick / 2022,WillJa11
,Mitchell Agude (NWT),,LB,0,0,245,4-Jun,Riverside CCUCLAMiami (FL),,Rook,,,AgudMi01
15,Maurice Alexander (NWT),26,WR,0,0,174,11-May,Florida International,1/10/97,1,,,AlexMa02
66,Matt Farniok (NWT),26,G,0,0,315,5-Jun,Nebraska,9/26/97,2,,Dallas Cowboys / 7th / 238th pick / 2021,FarnMa00
84,Daurice Fountain (NWT),28,WR,0,0,210,2-Jun,Northern Iowa,12/22/95,5,,Indianapolis Colts / 5th / 159th pick / 2018,FounDa00
36,Jake Funk (NWT),25,RB,0,0,205,10-May,Maryland,1/11/98,2,,Los Angeles Rams / 7th / 233rd pick / 2021,FunkJa00
76,Connor Galvin (NWT),23,OL,1,0,300,,Baylor,3/11/00,Rook,0,,GalvCo00
33,Craig James (NWT),27,CB,0,0,195,10-May,Southern Illinois,4/29/96,5,,,JameCr01
39,Jermar Jefferson (NWT),23,RB,0,0,212,10-May,Oregon St.,4/15/00,2,,Detroit Lions / 7th / 257th pick / 2021,JeffJe00
40,Brandon Joseph (NWT),22,S,2,0,200,Jun-00,NorthwesternNotre Dame,2/5/01,Rook,0,,JoseBr00
85,Tom Kennedy (NWT),27,WR,0,0,195,10-May,Bryant,7/29/96,4,,,KennTo01
,Netane Muti (NWT),24,G,0,0,307,3-Jun,Fresno St.,3/27/99,3,,Denver Broncos / 6th / 181st pick / 2020,MutiNe00
62,Michael Niese (NWT),25,OL,1,0,295,5-Jun,DaytonTemple,1/13/98,Rook,0,,NiesMi00
90,Christopher Smith (NWT),23,DL,0,0,195,,Georgia,5/1/00,Rook,,Las Vegas Raiders / 5th / 170th pick / 2023,SmitCh04
,Tre'Quan Smith (NWT),27,WR,0,0,210,1-Jun,Central Florida,1/7/96,5,,New Orleans Saints / 3rd / 91st pick / 2018,SmitTr03
47,Scott Daly (IR),29,LS,8,0,245,1-Jun,Notre Dame,2/7/94,2,0,,DalySc01
23,Jerry Jacobs (IR),26,CB,15,12,203,11-May,Hutchinson (KS)Arkansas,9/26/97,2,4,,JacoJe00
28,Zonovan Knight (IR),22,RB,2,0,209,10-May,North Carolina St.,4/11/01,1,0,,KnigZo00
82,James Mitchell (IR),24,TE,15,1,246,4-Jun,Virginia Tech,8/11/99,1,0,Detroit Lions / 5th / 177th pick / 2022,MitcJa00
4,Emmanuel Moseley (IR),27,CB,1,0,195,11-May,Tennessee,3/25/96,5,0,,MoseEm00
67,Matt Nelson (IR),28,T,3,2,315,7-Jun,Iowa,12/19/95,3,1,,NelsMa00
10,Nate Sudfeld (IR),30,QB,0,0,230,6-Jun,Indiana,10/7/93,6,,Washington Redskins / 6th / 187th pick / 2016,SudfNa00
72,Halapoulivaati Vaitai (IR),30,G,6,3,322,6-Jun,TCU,6/16/93,7,2,Philadelphia Eagles / 5th / 164th pick / 2016,VaitHa00
89,Brock Wright (IR),25,TE,14,4,250,5-Jun,Notre Dame,11/27/98,2,1,,WrigBr01
84,Shane Zylstra (IR),27,TE,0,0,240,4-Jun,Minnesota St.,11/16/96,2,,,ZylsSh00
