No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
74,Elgton Jenkins,28,OL,15,15,311,5-Jun,Mississippi St.,12/26/95,4,8,Green Bay Packers / 2nd / 44th pick / 2019,JenkEl00
36,Anthony Johnson,24,S,12,4,205,Jun-00,Iowa St.,12/2/99,Rook,2,Green Bay Packers / 7th / 242nd pick / 2023,JohnAn08
33,Aaron Jones,29,RB,11,11,208,9-May,Texas-El Paso,12/2/94,6,7,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00
72,Caleb Jones,24,T,1,0,370,9-Jun,Indiana,2/10/99,Rook,0,,JoneCa03
85,Tucker Kraft,23,TE,17,8,259,,South Dakota St.,11/3/00,Rook,4,Green Bay Packers / 3rd / 78th pick / 2023,KrafTu00
10,Jordan Love,25,QB,17,17,219,4-Jun,Utah St.,11/2/98,2,15,Green Bay Packers / 1st / 26th pick / 2020,LoveJo03
58,Isaiah McDuffie,24,LB,16,8,227,1-Jun,Boston Col.,7/21/99,2,4,Green Bay Packers / 6th / 220th pick / 2021,McDuIs00
80,Bo Melton,24,WR,5,1,189,11-May,Rutgers,5/18/99,Rook,2,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00
88,Luke Musgrave,23,TE,11,9,253,,Oregon St.,9/2/00,Rook,3,Green Bay Packers / 2nd / 42nd pick / 2023,MusgLu00
71,Josh Myers,25,OL,17,17,310,5-Jun,Ohio St.,7/16/98,2,9,Green Bay Packers / 2nd / 62nd pick / 2021,MyerJo00
70,Royce Newman,26,OL,17,2,310,5-Jun,Mississippi,8/17/97,2,2,Green Bay Packers / 4th / 142nd pick / 2021,NewmRo00
73,Yosh Nijman,27,T,17,1,314,7-Jun,Virginia Tech,1/2/96,3,2,,NijmYo01
25,Keisean Nixon,26,CB,17,13,200,10-May,South Carolina,6/22/97,4,11,,NixoKe00
42,Matthew Orzech,28,LS,17,0,245,3-Jun,Azusa Pacific,4/12/95,4,1,,OrzeMa00
34,Jonathan Owens,28,S,17,11,210,11-May,Missouri Western St.,7/22/95,4,3,,OwenJo01
11,Jayden Reed,23,WR,16,13,187,11-May,Western MichiganMichigan St.,4/28/00,Rook,9,Green Bay Packers / 2nd / 50th pick / 2023,ReedJa03
75,Sean Rhyan,25,OL,12,0,321,5-Jun,UCLA,9/20/98,1,1,Green Bay Packers / 3rd / 92nd pick / 2022,RhyaSe00
22,Robert Rochell,25,CB,9,0,195,2-Jun,Central Arkansas,4/26/98,2,0,Los Angeles Rams / 4th / 130th pick / 2021,RochRo00
76,Jon Runyan Jr.,26,G,17,17,307,4-Jun,Michigan,8/8/97,3,9,Green Bay Packers / 6th / 192nd pick / 2020,RunyJo00
48,Benny Sapp III,23,S,5,0,200,11-May,MinnesotaNorthern Iowa,6/27/00,Rook,0,,SappBe00
26,Darnell Savage Jr.,26,S,10,10,198,11-May,Maryland,7/30/97,4,3,Green Bay Packers / 1st / 21st pick / 2019,SavaDa00
89,Ben Sims,23,TE,17,1,250,,Baylor,5/16/00,Rook,0,,SimsBe00
93,Tedarrell Slaton,26,DL,17,17,330,4-Jun,Florida,10/3/97,2,7,Green Bay Packers / 5th / 173rd pick / 2021,SlatTe00
91,Preston Smith,31,LB,17,17,265,5-Jun,Mississippi St.,11/17/92,8,7,Washington Redskins / 2nd / 38th pick / 2015,SmitPr00
27,Patrick Taylor,25,RB,11,0,217,2-Jun,Memphis,4/29/98,2,1,,TaylPa01
50,Zach Tom,24,OL,17,17,304,4-Jun,Wake Forest,3/26/99,1,9,Green Bay Packers / 4th / 140th pick / 2022,TomxZa00
37,Carrington Valentine,22,CB,17,12,189,,Kentucky,9/9/01,Rook,3,Green Bay Packers / 7th / 232nd pick / 2023,ValeCa00
90,Lukas Van Ness,22,LB,17,0,272,5-Jun,Iowa,7/6/01,Rook,1,Green Bay Packers / 1st / 13th pick / 2023,VanNLu00
7,Quay Walker,23,LB,14,14,241,4-Jun,Georgia,5/8/00,1,6,Green Bay Packers / 1st / 22nd pick / 2022,WalkQu00
63,Rasheed Walker,23,T,17,15,324,6-Jun,Penn St.,2/13/00,1,10,Green Bay Packers / 7th / 249th pick / 2022,WalkRa00
9,Christian Watson,24,WR,9,9,208,4-Jun,North Dakota St.,5/12/99,1,4,Green Bay Packers / 2nd / 34th pick / 2022,WatsCh00
54,Kristian Welch,25,LB,14,0,240,3-Jun,Iowa,5/24/98,3,1,,WelcKr00
19,Daniel Whelan,24,P,17,0,216,5-Jun,UC Davis,2/10/99,Rook,1,,WhelDa00
13,Dontayvion Wicks,22,WR,15,6,206,,Virginia,6/16/01,Rook,6,Green Bay Packers / 5th / 159th pick / 2023,WickDo00
31,Emanuel Wilson,24,RB,7,0,226,11-May,Johnson C. SmithFort Valley St.,5/8/99,Rook,1,,WilsEm00
45,Eric Wilson,29,LB,17,0,230,1-Jun,Cincinnati,9/26/94,6,1,,WilsEr00
96,Colby Wooden,23,DL,17,0,273,4-Jun,Auburn,12/21/00,Rook,1,Green Bay Packers / 4th / 116th pick / 2023,WoodCo01
95,Devonte Wyatt,25,DL,17,5,304,3-Jun,Hutchinson (KS)Georgia,3/31/98,1,3,Green Bay Packers / 1st / 28th pick / 2022,WyatDe00
49,Deslin Alexandre (NWT),25,LB,0,0,264,4-Jun,Pittsburgh,6/11/98,Rook,,,AlexDe02
51,Keshawn Banks (NWT),24,LB,0,0,251,3-Jun,San Diego St.,12/21/99,Rook,,,BankKe00
24,Tyler Coyle (NWT),25,S,0,0,215,2-Jun,Purdue,11/15/98,2,,,CoylTy00
86,Grant Dubose (NWT),22,WR,0,0,201,2-Jun,MilesCharlotte,6/20/01,Rook,,Green Bay Packers / 7th / 256th pick / 2023,DuboGr00
99,Jonathan Ford (NWT),25,DL,0,0,338,5-Jun,Auburn,9/29/98,Rook,,Green Bay Packers / 7th / 234th pick / 2022,FordJo00
29,Zyon Gilbert (NWT),24,CB,0,0,182,1-Jun,Florida Atlantic,2/4/99,1,,,GilbZy00
40,Anthony Johnson (NWT),24,CB,0,0,205,2-Jun,Virginia,1/12/99,Rook,,,JohnAn09
47,Deandre Johnson (NWT),24,LB,0,0,252,3-Jun,Miami (FL),5/27/99,Rook,,,JohnDe09
2,Alex McGough (NWT),28,QB,0,0,214,3-Jun,Florida International,11/19/95,5,,Seattle Seahawks / 7th / 220th pick / 2018,McGoAl00
38,Ellis Merriweather (NWT),24,RB,0,0,225,2-Jun,UMass,4/7/99,Rook,,,MerrEl00
53,Arron Mosby (NWT),24,LB,0,0,250,3-Jun,Fresno St.,4/13/99,1,,,MosbAr00
56,Kenneth Odumegwu (NWT),23,LB,0,0,259,6-Jun,,11/29/00,Rook,,,OdumKe00
44,Henry Pearson (NWT),24,FB,2,0,249,2-Jun,Appalachian St.,11/23/99,Rook,0,,PearHe00
16,Thyrick Pitts (NWT),24,WR,0,0,201,1-Jun,Delaware,4/8/99,Rook,,,PittTh00
6,Jack Podlesny (NWT),23,K,0,0,180,1-Jun,Georgia,3/16/00,Rook,,,PodlJa00
77,Kadeem Telfort (NWT),25,T,0,0,322,6-Jun,FloridaGarden City (KS)Ala-Birmingham,11/10/98,Rook,,,TelfKa00
82,Joel Wilson (NWT),23,TE,0,0,250,4-Jun,Central Michigan,6/21/00,Rook,,,WilsJo02
,Christian Young (NWT),,LB,0,0,221,1-Jun,Arizona,,Rook,,,YounCh05
78,Luke Tenuta (IRD),24,T,0,0,314,6-Jun,Virginia Tech,9/1/99,1,,Buffalo Bills / 6th / 209th pick / 2022,TenuLu00
69,David Bakhtiari (IR),32,T,1,1,310,4-Jun,Colorado,9/30/91,10,1,Green Bay Packers / 4th / 109th pick / 2013,BakhDa00
84,Tyler Davis (IR),26,TE,0,0,252,4-Jun,ConnecticutGeorgia Tech,4/2/97,3,,Jacksonville Jaguars / 6th / 206th pick / 2020,DaviTy02
20,Rudy Ford (IR),29,S,13,9,210,Jun-00,Auburn,11/1/94,6,3,Arizona Cardinals / 6th / 208th pick / 2017,FordRu00
21,Eric Stokes (IR),24,CB,3,2,194,Jun-00,Georgia,3/1/99,2,1,Green Bay Packers / 1st / 29th pick / 2021,StokEr00
83,Samori Toure (IR),25,WR,11,0,191,1-Jun,MontanaNebraska,3/24/98,1,1,Green Bay Packers / 7th / 258th pick / 2022,TourSa00
