No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
91,Patrick Jones II,25,OLB,17,4,264,4-Jun,Pittsburgh,9/29/98,2,3,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
1,Greg Joseph,29,K,17,0,206,Jun-00,Florida Atlantic,8/4/94,5,2,,JoseGr00
2,Alexander Mattison,25,RB,16,13,215,11-May,Boise St.,6/19/98,4,5,Minnesota Vikings / 3rd / 102nd pick / 2019,MattAl01
44,Josh Metellus,25,S,17,17,207,11-May,Michigan,1/21/98,3,6,Minnesota Vikings / 6th / 205th pick / 2020,MeteJo00
12,Nick Mullens,28,QB,5,3,210,Jun-00,Southern Miss,3/21/95,5,4,,MullNi00
86,Johnny Mundt,29,TE,17,0,233,4-Jun,Oregon,11/23/94,6,1,,MundJo00
7,Byron Murphy,25,CB,14,14,190,11-May,Washington,1/18/98,4,5,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
34,Nick Muse,25,TE,2,0,252,5-Jun,William & MarySouth Carolina,11/25/98,1,0,Minnesota Vikings / 7th / 227th pick / 2022,MuseNi00
26,Kene Nwangwu,25,RB,9,0,210,1-Jun,Iowa St.,2/9/98,2,0,Minnesota Vikings / 4th / 119th pick / 2021,NwanKe00
75,Brian O'Neill,28,T,14,14,310,7-Jun,Pittsburgh,9/15/95,5,7,Minnesota Vikings / 2nd / 62nd pick / 2018,ONeiBr00
84,Josh Oliver,26,TE,17,14,259,5-Jun,San Jose St.,3/21/97,4,2,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
17,K.J. Osborn,26,WR,16,12,203,11-May,BuffaloMiami (FL),6/10/97,3,4,Minnesota Vikings / 5th / 176th pick / 2020,OsboKJ00
40,Ivan Pace,23,LB,17,11,231,,Miami (OH)Cincinnati,12/16/00,Rook,6,,PaceIv00
97,Harrison Phillips,27,DL,17,17,307,3-Jun,Stanford,1/25/96,5,8,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
19,Brandon Powell,28,WR,17,2,181,8-May,Florida,9/12/95,5,3,,PoweBr00
76,David Quessenberry,33,T,16,4,306,5-Jun,San Jose St.,8/24/90,6,3,Houston Texans / 6th / 176th pick / 2013,QuesDa00
62,Chris Reed,31,OL,2,0,314,3-Jun,Minnesota St.,7/22/92,7,0,,ReedCh00
66,Dalton Risner,28,G,15,11,312,5-Jun,Kansas St.,7/13/95,4,5,Denver Broncos / 2nd / 41st pick / 2019,RisnDa00
78,Jaquelin Roy,23,DL,12,1,305,3-Jun,LSU,10/22/00,Rook,1,Minnesota Vikings / 5th / 141st pick / 2023,RoyxJa00
65,Austin Schlottmann,28,OL,9,3,300,6-Jun,TCU,9/18/95,4,2,,SchlAu00
22,Harrison Smith,34,S,17,17,211,2-Jun,Notre Dame,2/2/89,11,6,Minnesota Vikings / 1st / 29th pick / 2012,SmitHa00
11,NaJee Thompson,23,CB,15,0,205,11-May,Georgia Southern,7/7/00,Rook,1,,ThomNa00
95,Khyiris Tonga,27,DL,14,2,338,4-Jun,BYU,7/7/96,2,2,Chicago Bears / 7th / 250th pick / 2021,TongKh00
59,Nick Vigil,30,LB,8,0,230,2-Jun,Utah St.,8/20/93,7,1,Cincinnati Bengals / 3rd / 87th pick / 2016,VigiNi00
20,Jay Ward,23,S,17,0,188,1-Jun,LSU,7/13/00,Rook,1,Minnesota Vikings / 4th / 134th pick / 2023,WardJa00
14,Ryan Wright,23,P,17,0,245,3-Jun,Tulane,6/1/00,1,2,,WrigRy00
85,Daylen Baldwin (NWT),24,WR,0,0,212,2-Jun,Morgan St.Jackson St.Michigan,11/24/99,1,,,BaldDa01
,Abraham Beauplan (NWT),,LB,0,0,235,,Marshall,,Rook,,,BeauAb00
68,Henry Byrd (NWT),24,OL,0,0,310,5-Jun,Princeton,7/1/99,Rook,,,ByrdHe00
63,Coy Cronk (NWT),25,T,0,0,318,4-Jun,IndianaIowa,1/18/98,1,,,CronCo00
37,Myles Gaskin (NWT),26,RB,2,0,199,10-May,Washington,2/15/97,4,0,Miami Dolphins / 7th / 234th pick / 2019,GaskMy00
,A.J. Green (NWT),25,CB,0,0,198,2-Jun,Oklahoma St.,6/9/98,3,,,GreeAJ00
13,N'Keal Harry (NWT),26,WR,9,0,225,4-Jun,Arizona St.,12/17/97,4,0,New England Patriots / 1st / 32nd pick / 2019,HarrNK00
9,Trishton Jackson (NWT),25,WR,7,0,191,1-Jun,Michigan St.Syracuse,3/9/98,Rook,0,,JackTr02
27,DeWayne McBride (NWT),22,RB,0,0,209,10-May,Ala-Birmingham,7/8/01,Rook,,Minnesota Vikings / 7th / 222nd pick / 2023,McBrDe00
79,Tyrese Robinson (NWT),,OL,0,0,325,,Oklahoma,,Rook,,,RobiTy01
89,Thayer Thomas (NWT),25,WR,0,0,195,Jun-00,North Carolina State,5/20/98,Rook,,,ThomTh01
38,Jaylin Williams (NWT),23,CB,3,0,195,10-May,Indiana,2/26/00,Rook,0,,WillJa14
29,Joejuan Williams (NWT),26,CB,2,0,212,3-Jun,Vanderbilt,12/6/97,4,0,New England Patriots / 2nd / 45th pick / 2019,WillJo13
31,Cam Akers (IR),24,RB,6,0,217,10-May,Florida St.,6/22/99,3,1,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00
8,Kirk Cousins (IR),35,QB,8,8,205,3-Jun,Michigan St.,8/19/88,11,7,Washington Redskins / 4th / 102nd pick / 2012,CousKi00
0,Marcus Davenport (IR),27,OLB,4,3,265,6-Jun,Texas-San Antonio,9/4/96,5,2,New Orleans Saints / 1st / 14th pick / 2018,DaveMa00
45,Troy Dye (IR),27,LB,15,2,225,3-Jun,Oregon,9/18/96,3,2,Minnesota Vikings / 4th / 132nd pick / 2020,DyexTr00
87,T.J. Hockenson (IR),26,TE,15,11,248,5-Jun,Iowa,7/3/97,4,7,Detroit Lions / 1st / 8th pick / 2019,HockTJ00
81,Malik Knowles (IR),23,WR,0,0,196,2-Jun,Kansas St.,8/17/00,Rook,,,KnowMa00
47,William Kwenkeu (IR),26,LB,0,0,235,1-Jun,Temple,1/8/97,1,,,KwenWi00
94,Dean Lowry (IR),29,DL,9,4,296,6-Jun,Northwestern,6/9/94,7,2,Green Bay Packers / 4th / 137th pick / 2016,LowrDe00
92,James Lynch (IR),24,DL,0,0,295,4-Jun,Baylor,1/20/99,3,,Minnesota Vikings / 4th / 130th pick / 2020,LyncJa00
83,Jalen Nailor (IR),24,WR,6,1,190,Jun-00,Michigan St.,3/2/99,1,0,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
74,Oli Udoh (IR),26,T,2,1,320,6-Jun,Elon,2/14/97,4,0,Minnesota Vikings / 6th / 193rd pick / 2019,UdohOl01
98,D.J. Wonnum (IR),26,OLB,15,14,258,5-Jun,South Carolina,10/31/97,3,8,Minnesota Vikings / 4th / 117th pick / 2020,WonnDJ00
