Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
17,39,Josh James\redirect.fcgi?player=1&mlb_ID=657624,us US,Pitcher,*,,26,R,R,"6' 3""",206,Mar 8 1993,2014
18,21,Zack Greinke\redirect.fcgi?player=1&mlb_ID=425844,us US,Pitcher,*,,35,R,R,"6' 2""",200,Oct 21 1983,2002
19,64,Kent Emanuel\redirect.fcgi?player=1&mlb_ID=592288,us US,Pitcher,*,,27,L,L,"6' 4""",212,Jun 4 1992,2013
20,29,Joe Biagini\redirect.fcgi?player=1&mlb_ID=607352,us US,Pitcher,*,,29,R,R,"6' 5""",235,May 29 1990,2012
21,47,Chris Devenski\redirect.fcgi?player=1&mlb_ID=606965,us US,Pitcher,*,,28,R,R,"6' 3""",210,Nov 13 1990,2011
22,73,Cristian Javier\redirect.fcgi?player=1&mlb_ID=664299,do DO,Pitcher,*,,22,R,R,"6' 1""",204,Mar 26 1997,2015
23,1,Carlos Correa\redirect.fcgi?player=1&mlb_ID=621043,pr PR,Position,*,,24,R,R,"6' 4""",215,Sep 22 1994,2012
24,27,Jose Altuve\redirect.fcgi?player=1&mlb_ID=514888,ve VE,Position,*,,29,R,R,"5' 6""",165,May 6 1990,2007
25,44,Yordan Alvarez\redirect.fcgi?player=1&mlb_ID=670541,cu CU,Position,*,,22,L,R,"6' 5""",225,Jun 27 1997,2013
26,30,Kyle Tucker\redirect.fcgi?player=1&mlb_ID=663656,us US,Position,*,,22,L,R,"6' 4""",190,Jan 17 1997,2015
27,31,Abraham Toro\redirect.fcgi?player=1&mlb_ID=647351,ca CA,Position,*,,22,S,R,"6' 1""",190,Dec 20 1996,2016
28,11,Garrett Stubbs\redirect.fcgi?player=1&mlb_ID=596117,us US,Position,*,,26,L,R,"5' 10""",175,May 26 1993,2013
29,26,Myles Straw\redirect.fcgi?player=1&mlb_ID=664702,us US,Position,*,,24,R,R,"5' 10""",180,Oct 17 1994,2015
30,4,George Springer\redirect.fcgi?player=1&mlb_ID=543807,us US,Position,*,,29,R,R,"6' 3""",215,Sep 19 1989,2011
31,23,Michael Brantley\redirect.fcgi?player=1&mlb_ID=488726,us US,Position,*,,32,L,L,"6' 2""",200,May 15 1987,2005
32,2,Alex Bregman\redirect.fcgi?player=1&mlb_ID=608324,us US,Position,*,,25,R,R,"6' 0""",180,Mar 30 1994,2013
33,22,Josh Reddick\redirect.fcgi?player=1&mlb_ID=502210,us US,Position,*,,32,L,R,"6' 2""",195,Feb 19 1987,2007
34,16,Aledmys Diaz\redirect.fcgi?player=1&mlb_ID=649557,cu CU,Position,*,,28,R,R,"6' 1""",195,Aug 1 1990,2007
35,13,Dustin Garneau\redirect.fcgi?player=1&mlb_ID=572863,us US,Position,*,,31,R,R,"6' 2""",205,Aug 13 1987,2009
36,10,Yuli Gurriel\redirect.fcgi?player=1&mlb_ID=493329,cu CU,Position,*,,35,R,R,"6' 0""",190,Jun 9 1984,2001
37,9,Jack Mayfield\redirect.fcgi?player=1&mlb_ID=608686,us US,Position,*,,28,R,R,"5' 11""",190,Sep 30 1990,2013
38,15,Martin Maldonado\redirect.fcgi?player=1&mlb_ID=455117,pr PR,Position,*,,32,R,R,"6' 0""",230,Aug 16 1986,2004
39,79,Taylor Jones\redirect.fcgi?player=1&mlb_ID=622100,us US,Position,*,,25,R,R,"6' 7""",225,Dec 6 1993,2013
